#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:file76a54892883c" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:file76a54892883c" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:file76a54892883c">
#                <taxonset id="TaxonSet.file76a54892883c" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:file76a54892883c" name="distribution" x="@birthRate.t:file76a54892883c">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:file76a54892883c" name="distribution">
#            <parameter id="clockRate.c:file76a54892883c" name="x">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:file76a54892883c">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean">10.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma">0.01</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@file76a54892883c" id="treeLikelihood.file76a54892883c" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:file76a54892883c">
#            <siteModel id="SiteModel.s:file76a54892883c" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:file76a54892883c" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:file76a54892883c" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:file76a54892883c" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:file76a54892883c" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:file76a54892883c" id="StrictClock.c:file76a54892883c" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.file76a54892883c	TreeHeight	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-360277.48559365433	-15.89985429344035	-360261.5857393609	-15.89985429344035	1.5116339322705874	-3.4794721133337134	1.0	-360258.1062672476	1.5116339322705874	1.0
1000	-18.323526193497415	-15.056452375369464	-3.2670738181279497	-15.056452375369464	9.99190883532868	-6.625970742219249	0.11320580635670739	3.3588969240912996	9.99190883532868	7.688709959839871
2000	-20.400077984540424	-16.635532333438686	-3.7645456511017397	-16.635532333438686	9.992106357393755	-7.139229335909541	0.07059682130392762	3.3746836848078017	9.992106357393755	8.205648614830283
3000	-20.948719243506666	-16.635532333438686	-4.31318691006798	-16.635532333438686	10.0103859767198	-7.4600760007303055	0.0456034126731865	3.1468890906623255	10.0103859767198	14.28203534574216
4000	-24.117979829318248	-16.635532333438686	-7.482447495879563	-16.635532333438686	10.026959592959857	-7.53458088585714	0.19643530570960283	0.05213338997757688	10.026959592959857	18.17898415205722
5000	-20.62544735553683	-16.635532333438686	-3.989915022098144	-16.635532333438686	10.004052573466346	-7.594029916380899	0.20253243755185082	3.604114894282755	10.004052573466346	27.328506342152735
6000	-20.354740640079747	-16.635532333438686	-3.719208306641061	-16.635532333438686	10.003222376083485	-7.35352142130739	0.14913688615292453	3.6343131146663286	10.003222376083485	34.21490714267518
7000	-19.94174558308722	-16.635532333438686	-3.3062132496485312	-16.635532333438686	9.998816003964723	-6.985435669374196	0.06252047735092617	3.6792224197256647	9.998816003964723	40.47726486221478
8000	-19.609769307213814	-16.635510142007607	-2.9742591652062047	-16.635510142007607	9.998816003964723	-6.653481584931869	0.08512851546893055	3.6792224197256647	9.998816003964723	16.146884061928922
9000	-21.317421757706217	-16.635532333438686	-4.681889424267531	-16.635532333438686	9.992586757906784	-8.093340285387784	0.2260136961228587	3.4114508611202523	9.992586757906784	20.468788502554823
10000	-23.30716969652527	-16.635532333438686	-6.671637363086585	-16.635532333438686	9.992586757906784	-10.083088224206838	0.3669383651052617	3.4114508611202523	9.992586757906784	107.46283393114739
11000	-20.4383663496104	-16.635532333438686	-3.802834016171714	-16.635532333438686	9.992586757906784	-7.214284877291966	0.14201000223050553	3.4114508611202523	9.992586757906784	171.39463952977715
12000	-20.126791738062266	-16.635532333438686	-3.4912594046235808	-16.635532333438686	9.992586757906784	-6.902710265743833	0.05998096185559979	3.4114508611202523	9.992586757906784	281.2718471395908
13000	-20.40253572702371	-16.635532333438686	-3.7670033935850245	-16.635532333438686	9.992586757906784	-7.178454254705277	0.1442784855942083	3.4114508611202523	9.992586757906784	510.4256954574186
14000	-19.997437563691502	-16.635532333438686	-3.3619052302528156	-16.635532333438686	9.992586757906784	-6.773356091373068	0.08568918926565955	3.4114508611202523	9.992586757906784	661.4433473719819
15000	-23.0434267592863	-16.635532333438686	-6.407894425847616	-16.635532333438686	10.023757349942528	-7.272067697172337	0.10590292904295327	0.8641732713247205	10.023757349942528	1020.4504325757043
16000	-19.803298162194274	-16.635532333438686	-3.1677658287555865	-16.635532333438686	9.99657715141951	-6.795418019514196	0.08762981975189048	3.6276521907586097	9.99657715141951	1297.7501381784298
17000	-23.336842756913946	-16.635532333438686	-6.701310423475259	-16.635532333438686	9.972970941871809	-6.734692159773066	0.09301455121873523	0.03338173629780705	9.972970941871809	283.66591183886965
18000	-23.424248365825832	-16.635532333438686	-6.7887160323871445	-16.635532333438686	9.972970941871809	-6.8220977686849515	0.14862316869337297	0.03338173629780705	9.972970941871809	1928.2996270935173
19000	-20.48423953355846	-16.635532333438686	-3.848707200119774	-16.635532333438686	10.004446051203685	-7.436101996374267	0.21086208685057775	3.587394796254493	10.004446051203685	2942.1051146996765
20000	-20.148259576333704	-16.635532333438686	-3.5127272428950187	-16.635532333438686	10.004446051203685	-7.100122039149512	0.09223955259437097	3.587394796254493	10.004446051203685	960.4728880065388
21000	-20.33785555795929	-16.635532333438686	-3.7023232245206046	-16.635532333438686	9.995970423428524	-7.307367440577083	0.0920405094615331	3.605044216056479	9.995970423428524	1422.2537102363667
22000	-21.42414066184132	-16.635532333438686	-4.788608328402635	-16.635532333438686	9.983409057359783	-7.0985430927311475	0.04944218294779406	2.3099347643285126	9.983409057359783	2332.0985662915245
23000	-23.6599390928	-16.635532333438686	-7.0244067593613115	-16.635532333438686	9.980801325628768	-8.867692924081725	0.014301209708172852	1.8432861647204135	9.980801325628768	6497.193479271091
24000	-21.85210221236003	-16.635532333438686	-5.216569878921344	-16.635532333438686	10.010789883469874	-8.320693605237453	0.020591087880794962	3.1041237263161086	10.010789883469874	17363.671639974466
25000	-21.457942364696795	-16.635532333438686	-4.822410031258109	-16.635532333438686	10.010789883469874	-7.926533757574218	0.026001487097053615	3.1041237263161086	10.010789883469874	15992.940244937188
26000	-20.521005731860782	-16.635532333438686	-3.8854733984220964	-16.635532333438686	10.009250261168633	-7.143868392765904	0.049926064762768625	3.2583949943438073	10.009250261168633	23274.420041748464
27000	-20.304042617071264	-16.635532333438686	-3.6685102836325787	-16.635532333438686	9.9915445082693	-6.997265234376295	0.14924934200328982	3.328754950743716	9.9915445082693	43908.01056965446
28000	-20.514377875187005	-16.635532333438686	-3.878845541748319	-16.635532333438686	9.98874530761284	-6.931736690883735	0.06511219968502927	3.052891149135416	9.98874530761284	3354221.070909216
29000	-21.634628685755782	-16.635532333438686	-4.999096352317097	-16.635532333438686	10.016257759578174	-7.363754272591957	0.138818350218593	2.36465792027486	10.016257759578174	9813574.660957038
30000	-23.623985595121532	-16.635532333438686	-6.988453261682848	-16.635532333438686	10.016257759578174	-9.353111181957708	0.3107345438321536	2.36465792027486	10.016257759578174	3.746863454781809E8
31000	-20.5777111973942	-16.635532333438686	-3.942178863955517	-16.635532333438686	10.009709374489331	-7.157050751868571	0.08006639242243405	3.214871887913054	10.009709374489331	5.848850188209288E10
32000	-19.77354827232936	-16.635532333438686	-3.1380159388906756	-16.635532333438686	9.999213374179087	-6.821153690763459	0.11560307294957531	3.683137751872783	9.999213374179087	1.735426164141213E11
33000	-23.07958741720176	-16.635532333438686	-6.444055083763075	-16.635532333438686	9.977062445381303	-7.499629677118066	0.04351642048280935	1.055574593354991	9.977062445381303	1.0466071971121162E14
34000	-20.731328168463474	-16.635532333438686	-4.095795835024788	-16.635532333438686	9.985884428892	-6.7857807492831395	0.1426060333510434	2.689984914258351	9.985884428892	1.3889083588888496E19
35000	-24.578370245517505	-16.635532333438686	-7.94283791207882	-16.635532333438686	10.009492399316954	-11.178541340899653	0.3424594548033795	3.235703428820832	10.009492399316954	2.509112844844482E22
36000	-23.380660932322886	-16.635532333438686	-6.7451285988842	-16.635532333438686	10.023880085978771	-7.580067719900168	0.03466332508054671	0.8349391210159678	10.023880085978771	2.4115525613834272E22
37000	-22.158535798789707	-16.635532333438686	-5.523003465351023	-16.635532333438686	10.019786999630895	-7.251608346169197	0.05235177860599887	1.7286048808181744	10.019786999630895	8.579049667875016E24
38000	-23.57229200995402	-16.635532333438686	-6.936759676515334	-16.635532333438686	10.0178105925451	-9.036905295260897	0.27766108463530786	2.1001456187455636	10.0178105925451	1.3314272984212662E28
39000	-22.258620067194077	-16.635532333438686	-5.62308773375539	-16.635532333438686	10.018338505932316	-7.62781538739078	0.03851046634421779	2.00472765363539	10.018338505932316	3.857871910070562E29
40000	-21.597941465588868	-16.635532333438686	-4.96240913215018	-16.635532333438686	10.018057699399819	-7.018238246862532	0.0556033925930663	2.0558291147123526	10.018057699399819	1.2764861267033943E32
41000	-20.066405554159193	-16.635532333438686	-3.4308732207205064	-16.635532333438686	9.996783148597672	-7.065364208780617	0.13569904962749357	3.634490988060111	9.996783148597672	9.5016301942348E34
42000	-22.83369766193291	-16.635532333438686	-6.198165328494223	-16.635532333438686	9.996783148597672	-9.832656316554335	0.3338741517674729	3.634490988060111	9.996783148597672	6.347719669494879E38
43000	-19.96172951479613	-16.635532333438686	-3.326197181357444	-16.635532333438686	9.998789435447478	-7.005101501461743	0.1626486099758052	3.6789043201042992	9.998789435447478	1.063633960575113E40
44000	-20.364097273524283	-16.635532333438686	-3.728564940085598	-16.635532333438686	9.998789435447478	-7.407469260189897	0.20159745977937354	3.6789043201042992	9.998789435447478	2.818690693872106E42
45000	-19.87145794791899	-16.635532333438686	-3.2359256144803052	-16.635532333438686	9.998789435447478	-6.9148299345846045	0.07802469342134792	3.6789043201042992	9.998789435447478	8.449951068648739E44
46000	-21.668400331867307	-16.635532333438686	-5.032867998428621	-16.635532333438686	9.998789435447478	-8.71177231853292	0.28094631328432834	3.6789043201042992	9.998789435447478	4.411900488680606E47
47000	-20.44541445919178	-16.635532333438686	-3.8098821257530937	-16.635532333438686	9.998789435447478	-7.488786445857393	0.10863636198450835	3.6789043201042992	9.998789435447478	1.914214857872278E51
48000	-20.994783276020048	-16.635532333438686	-4.359250942581362	-16.635532333438686	9.989458807713554	-7.489898921265612	0.14167992711482422	3.1306479786842507	9.989458807713554	3.236826023073161E51
49000	-28.04088991924303	-16.635532333438686	-11.405357585804342	-16.635532333438686	10.01625967801035	-13.769703593586483	0.4948465964826676	2.3643460077821405	10.01625967801035	5.162073918326662E52
50000	-23.774335440040808	-16.635532333438686	-7.138803106602122	-16.635532333438686	10.020412205836966	-8.741744023732284	0.21778726658987158	1.6029409171301627	10.020412205836966	1.0676065827405565E56
51000	-20.29675892001905	-16.635532333438686	-3.6612265865803666	-16.635532333438686	10.001131296427447	-7.341059081330013	0.13382786694475995	3.679832494749647	10.001131296427447	2.303240329457428E59
52000	-19.83307303811492	-16.635532333438686	-3.1975407046762356	-16.635532333438686	10.001131296427447	-6.877373199425882	0.06558582668666607	3.679832494749647	10.001131296427447	5.6179356504483195E63
53000	-19.945775981162637	-16.635532333438686	-3.3102436477239516	-16.635532333438686	10.001896185288805	-6.978497707259966	0.07770457923514795	3.6682540595360145	10.001896185288805	7.271937981294094E66
54000	-23.524958778241047	-16.635532333438686	-6.8894264448023605	-16.635532333438686	9.982670669678877	-9.07412965069273	0.21683926660459418	2.1847032058903686	9.982670669678877	2.3317114187374914E71
55000	-19.921887599977584	-16.635532333438686	-3.286355266538899	-16.635532333438686	9.999937185187886	-6.972567190819213	0.15959468386864117	3.6862119242803137	9.999937185187886	5.238813355982152E73
56000	-21.707398152794582	-16.635532333438686	-5.071865819355894	-16.635532333438686	10.008765222703712	-8.373951826910986	0.02043846406698676	3.302086007555092	10.008765222703712	9.911606027894261E73
57000	-21.346936181656602	-16.635532333438686	-4.711403848217916	-16.635532333438686	10.011847856452542	-7.695776988401111	0.1839659625676794	2.984373140183194	10.011847856452542	5.6078776412397406E76
58000	-20.94934028693966	-16.635532333438686	-4.313807953500975	-16.635532333438686	10.009324624517008	-7.56529649436844	0.12212143822866824	3.251488540867465	10.009324624517008	1.0531669034069429E79
59000	-20.213368176345835	-16.635532333438686	-3.5778358429071484	-16.635532333438686	10.009324624517008	-6.829324383774614	0.06761276059343875	3.251488540867465	10.009324624517008	4.5769551541557956E77
60000	-21.40046888374377	-16.635532333438686	-4.764936550305084	-16.635532333438686	10.009324624517008	-8.016425091172549	0.15817156636724947	3.251488540867465	10.009324624517008	9.424939123299938E79
61000	-20.95237733090258	-16.635532333438686	-4.316844997463893	-16.635532333438686	9.993608930696052	-7.798847816007969	0.18690908865435205	3.4820028185440757	9.993608930696052	5.369818059491857E86
62000	-20.840163587367222	-16.635532333438686	-4.204631253928538	-16.635532333438686	9.999205004431941	-7.887702816945788	0.15793977696846798	3.683071563017251	9.999205004431941	2.656759947794538E90
63000	-21.54467129550119	-16.635532333438686	-4.909138962062505	-16.635532333438686	9.999205004431941	-8.592210525079755	0.2622415106993942	3.683071563017251	9.999205004431941	2.5962194662064485E90
64000	-20.195619994760026	-16.635532333438686	-3.560087661321339	-16.635532333438686	9.999205004431941	-7.24315922433859	0.0429088461768796	3.683071563017251	9.999205004431941	3.0903027699263734E93
65000	-20.47573566440028	-16.635532333438686	-3.840203330961594	-16.635532333438686	10.001677548015186	-7.512364147028739	0.09185968501298222	3.6721608160671453	10.001677548015186	4.937215626703676E96
66000	-19.90686346241176	-16.635532333438686	-3.271331128973074	-16.635532333438686	9.994562643232333	-6.809738538662041	0.10895410230912868	3.5384074096889666	9.994562643232333	4.387737190059369E99
