#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:file76a56a9c9116" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:file76a56a9c9116" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:file76a56a9c9116">
#                <taxonset id="TaxonSet.file76a56a9c9116" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:file76a56a9c9116" name="distribution" x="@birthRate.t:file76a56a9c9116">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@file76a56a9c9116" id="treeLikelihood.file76a56a9c9116" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:file76a56a9c9116">
#            <siteModel id="SiteModel.s:file76a56a9c9116" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:file76a56a9c9116" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:file76a56a9c9116" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:file76a56a9c9116" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:file76a56a9c9116" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:file76a56a9c9116" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:file76a56a9c9116" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-23.51192989975306	-15.059243794109408	-8.452686105643652	-15.059243794109408	4.001965889437913	-8.452686105643652	1.0
1000	-16.428897580660013	-13.958107498320373	-2.4707900823396387	-13.958107498320373	0.7240807706650256	-2.4707900823396387	0.40344933166283553
2000	-15.845850140708821	-13.82937231010975	-2.0164778305990705	-13.82937231010975	0.518514060510725	-2.0164778305990705	4.0655746939542405
3000	-14.037239501694081	-16.783235358710755	2.7459958570166725	-16.783235358710755	0.05948679867794798	2.7459958570166725	17.063377062825758
4000	-14.208959253601998	-16.284055799367255	2.0750965457652573	-16.284055799367255	0.0968411576124593	2.0750965457652573	8.085549109388205
5000	-14.141532408750052	-15.917609502522332	1.7760770937722794	-15.917609502522332	0.11056837912290898	1.7760770937722794	7.053615004259599
6000	-15.130854582861833	-14.651414815137514	-0.47943976772431895	-14.651414815137514	0.2324405906771102	-0.47943976772431895	6.413540320251143
7000	-14.671196906860851	-15.440747572666485	0.7695506658056341	-15.440747572666485	0.19908619823597756	0.7695506658056341	4.361407433938941
8000	-14.030741544681188	-14.092891685295827	0.06215014061463853	-14.092891685295827	0.25812349719054356	0.06215014061463853	4.594603311871233
9000	-18.22723488693125	-14.204819460027455	-4.022415426903795	-14.204819460027455	0.9421210328985391	-4.022415426903795	2.8753254463678046
10000	-14.070373886612423	-14.630378971328247	0.560005084715824	-14.630378971328247	0.1807583023732098	0.560005084715824	5.357717419752884
11000	-15.522841807546348	-15.739690629376028	0.21684882182968046	-15.739690629376028	0.232441643928837	0.21684882182968046	6.338134706617397
12000	-15.904845472106292	-14.530127227502216	-1.3747182446040744	-14.530127227502216	0.27187731212462257	-1.3747182446040744	6.815606326626804
13000	-14.83279386985801	-18.20323702938169	3.370443159523679	-18.20323702938169	0.06487106671815328	3.370443159523679	17.99330716200031
14000	-14.081208706831308	-14.738448642399067	0.6572399355677598	-14.738448642399067	0.20900762461004468	0.6572399355677598	7.135421792543616
15000	-19.06354742870545	-14.791932056116629	-4.2716153725888235	-14.791932056116629	0.6213682620770635	-4.2716153725888235	3.764042390870894
16000	-15.203567676877466	-13.828209021429885	-1.375358655447581	-13.828209021429885	0.4478419802472455	-1.375358655447581	3.6751105597317077
17000	-15.049709411201535	-14.244404105957777	-0.8053053052437584	-14.244404105957777	0.3504492583032826	-0.8053053052437584	2.7349210314405985
18000	-15.093156356910004	-14.666755377152453	-0.42640097975755165	-14.666755377152453	0.3345298371706071	-0.42640097975755165	1.7331891614640418
19000	-17.728846892559076	-16.847197655414437	-0.8816492371446403	-16.847197655414437	0.22288768670628478	-0.8816492371446403	11.9617766097106
20000	-14.58973095449438	-14.481906301231644	-0.10782465326273538	-14.481906301231644	0.2584669075044755	-0.10782465326273538	7.200983334846794
21000	-14.713318544076348	-13.975296036199861	-0.7380225078764862	-13.975296036199861	0.4322701236316455	-0.7380225078764862	1.250177707026054
22000	-14.293679625583687	-15.394035831376359	1.1003562057926715	-15.394035831376359	0.14382233106768075	1.1003562057926715	7.187099278513141
23000	-14.621670287618443	-14.371352250233599	-0.25031803738484293	-14.371352250233599	0.2661515702778965	-0.25031803738484293	1.8290978297929252
24000	-14.424000136802487	-14.348921528961622	-0.07507860784086517	-14.348921528961622	0.255103919049171	-0.07507860784086517	3.1070811138870877
25000	-14.181572871672024	-14.426534659557428	0.24496178788540357	-14.426534659557428	0.21836458965069283	0.24496178788540357	3.9529415138288213
26000	-14.484292854811278	-14.381338178737478	-0.10295467607379938	-14.381338178737478	0.3513218290297377	-0.10295467607379938	2.0116508739979677
27000	-15.192308483570637	-13.86369929354115	-1.3286091900294876	-13.86369929354115	0.576316614474876	-1.3286091900294876	2.0721525281483277
28000	-14.614738414442993	-17.65780110991205	3.0430626954690583	-17.65780110991205	0.045024688378981534	3.0430626954690583	7.471935369074518
29000	-15.38088886539308	-14.351835497543656	-1.0290533678494256	-14.351835497543656	0.39408713518455674	-1.0290533678494256	1.2297434791044881
30000	-14.02533599251853	-14.727616305474376	0.7022803129558454	-14.727616305474376	0.16986122495275296	0.7022803129558454	2.934890292235137
31000	-13.867232055511586	-14.199254206451243	0.3320221509396566	-14.199254206451243	0.23694237590862635	0.3320221509396566	5.033342700898476
32000	-14.101867720422083	-15.960689343533346	1.8588216231112629	-15.960689343533346	0.08525536386335554	1.8588216231112629	4.303504595577105
33000	-14.267854060670025	-14.731305530983047	0.4634514703130206	-14.731305530983047	0.15842714905721486	0.4634514703130206	9.592713734160993
34000	-14.261326365379938	-17.809894141859303	3.5485677764793646	-17.809894141859303	0.042958245972302994	3.5485677764793646	14.647630898539926
35000	-15.469171628258156	-16.841753592361975	1.3725819641038184	-16.841753592361975	0.1586013669396497	1.3725819641038184	4.332186631601765
36000	-14.926569107281429	-18.66981008364148	3.743240976360051	-18.66981008364148	0.03953791469998877	3.743240976360051	12.150668471349615
37000	-14.526739286213843	-17.45286726655266	2.9261279803388147	-17.45286726655266	0.0537621153977044	2.9261279803388147	21.41516078017924
38000	-13.546668671876523	-15.65699282245059	2.110324150574067	-15.65699282245059	0.11075303938152109	2.110324150574067	8.484185508453958
39000	-14.147722023999197	-16.379311968252303	2.2315899442531055	-16.379311968252303	0.08382250866238784	2.2315899442531055	6.651736993274363
40000	-14.928584171355148	-18.881860105487807	3.953275934132658	-18.881860105487807	0.03195361534684726	3.953275934132658	57.2641788805064
41000	-16.855182322392018	-18.467224459379523	1.6120421369875064	-18.467224459379523	0.04813190077921392	1.6120421369875064	66.74890809741832
42000	-14.094887974788843	-17.97242375563072	3.877535780841878	-17.97242375563072	0.0464486114749537	3.877535780841878	23.621006940095505
43000	-14.269517023684184	-15.404087646393664	1.1345706227094796	-15.404087646393664	0.12809706753584965	1.1345706227094796	8.675269942183595
44000	-15.089329835072958	-15.589558133557944	0.5002282984849862	-15.589558133557944	0.24009647710689017	0.5002282984849862	3.566148806915745
45000	-16.672890344129122	-16.47874882728894	-0.19414151684018455	-16.47874882728894	0.27430332491994325	-0.19414151684018455	6.550220553583201
46000	-14.693451945636465	-16.07589223090211	1.3824402852656439	-16.07589223090211	0.08166173309962228	1.3824402852656439	18.56944714793159
47000	-14.125228807825508	-15.448831379476104	1.3236025716505972	-15.448831379476104	0.1275508309190112	1.3236025716505972	7.3522617620221915
48000	-15.546553102576327	-14.66258433750453	-0.8839687650717978	-14.66258433750453	0.31021982517749186	-0.8839687650717978	0.9513963017395356
49000	-13.876226549591646	-14.511101800257187	0.6348752506655402	-14.511101800257187	0.190739799949732	0.6348752506655402	3.4777522264748484
50000	-17.328530035952447	-15.648622077348552	-1.679907958603894	-15.648622077348552	0.1494890040670101	-1.679907958603894	19.65129818164797
51000	-14.014468097124901	-15.997379391277963	1.9829112941530629	-15.997379391277963	0.12729657170593922	1.9829112941530629	8.381942117534502
52000	-14.403789417791177	-18.165482854270035	3.7616934364788577	-18.165482854270035	0.035663522385897976	3.7616934364788577	26.046654842806273
53000	-17.113710012312502	-15.02032362774895	-2.0933863845635527	-15.02032362774895	0.6396554153003664	-2.0933863845635527	0.5363923212271029
54000	-15.340199854327553	-13.97496112498763	-1.3652387293399233	-13.97496112498763	0.5741816543370795	-1.3652387293399233	1.7465021080128815
55000	-15.475078524205552	-15.950839321195406	0.4757607969898552	-15.950839321195406	0.1691959044691882	0.4757607969898552	10.097878396507893
56000	-13.838406087506694	-14.211264132977714	0.3728580454710204	-14.211264132977714	0.23259178787513354	0.3728580454710204	3.0344918243373407
57000	-15.643208314188776	-14.426192209925595	-1.2170161042631813	-14.426192209925595	0.2580401778345489	-1.2170161042631813	6.530652177858602
58000	-14.224225012170988	-16.10281383189548	1.8785888197244929	-16.10281383189548	0.07946022817782408	1.8785888197244929	4.046254515190333
59000	-14.642466622605397	-14.130535986035126	-0.5119306365702707	-14.130535986035126	0.2581856732330947	-0.5119306365702707	7.309262445834142
60000	-15.223725610170911	-13.885659459103387	-1.3380661510675238	-13.885659459103387	0.6151730322082476	-1.3380661510675238	1.0614543392175186
61000	-14.734858844798103	-13.82166090044516	-0.9131979443529421	-13.82166090044516	0.50038302049812	-0.9131979443529421	1.928356696312013
62000	-15.358310402553908	-14.445695399625446	-0.9126150029284614	-14.445695399625446	0.5592094440678912	-0.9126150029284614	1.629992653094081
63000	-14.518829247431421	-14.489049298999191	-0.02977994843223053	-14.489049298999191	0.2728476472016179	-0.02977994843223053	6.295990269243863
64000	-17.125851194718873	-15.10680228581592	-2.0190489089029535	-15.10680228581592	0.7661943547241593	-2.0190489089029535	1.1343849050924397
65000	-16.577854427363537	-14.463463203710903	-2.1143912236526337	-14.463463203710903	0.6584180179908179	-2.1143912236526337	1.9105986404929758
66000	-15.65751063922909	-18.475059977310565	2.817549338081476	-18.475059977310565	0.05169724239226575	2.817549338081476	5.51019311122528
67000	-14.587861741454244	-14.818517356872224	0.23065561541798107	-14.818517356872224	0.24146557274721758	0.23065561541798107	3.632367676593091
68000	-14.972898115357731	-13.836356855788274	-1.1365412595694573	-13.836356855788274	0.502549600306157	-1.1365412595694573	1.0028797728984857
69000	-14.022593640970012	-13.940373640852357	-0.08222000011765496	-13.940373640852357	0.3122178705207077	-0.08222000011765496	2.632624759249044
70000	-15.168022194176505	-18.167967933471125	2.999945739294621	-18.167967933471125	0.059711975365285316	2.999945739294621	8.058421228558528
71000	-14.13225284227464	-15.500424906127094	1.368172063852454	-15.500424906127094	0.16860366904071677	1.368172063852454	7.335212191920034
72000	-14.202151856011085	-16.244607198957148	2.042455342946064	-16.244607198957148	0.09642450191794129	2.042455342946064	6.453072639637739
73000	-17.442286159416973	-14.914215934442325	-2.52807022497465	-14.914215934442325	0.9572717116447006	-2.52807022497465	0.5764862403473501
74000	-16.72283611585019	-13.980428332315292	-2.7424077835348966	-13.980428332315292	0.2990467526048067	-2.7424077835348966	10.31601694042159
75000	-15.62151722374249	-14.497728816314913	-1.1237884074275768	-14.497728816314913	0.45656162472242406	-1.1237884074275768	1.6556069673832208
76000	-13.551174601319575	-14.660689866111255	1.1095152647916802	-14.660689866111255	0.1754644342998878	1.1095152647916802	4.123509004118199
77000	-14.800185952106254	-17.983808176626738	3.1836222245204837	-17.983808176626738	0.05257302354526789	3.1836222245204837	22.151352397267264
78000	-20.063582136537885	-15.662751787134376	-4.400830349403511	-15.662751787134376	2.869266362829864	-4.400830349403511	0.39400221727381207
79000	-14.743068723111085	-13.87806917013332	-0.8649995529777641	-13.87806917013332	0.36774024970184105	-0.8649995529777641	4.545036946849215
80000	-14.825257105317325	-15.11373739637993	0.2884802910626054	-15.11373739637993	0.2149827491627883	0.2884802910626054	5.76383227882935
81000	-16.00303991650371	-13.993921695078303	-2.0091182214254073	-13.993921695078303	0.6878998744619096	-2.0091182214254073	2.2437024220549002
82000	-14.655949116171588	-14.427746162954906	-0.2282029532166825	-14.427746162954906	0.21903653722102226	-0.2282029532166825	5.9745310420266975
83000	-14.078348268683975	-14.074206611016027	-0.004141657667947385	-14.074206611016027	0.277604557888948	-0.004141657667947385	2.668525099702289
84000	-13.71800379520344	-15.39974629560477	1.681742500401329	-15.39974629560477	0.1113524706982543	1.681742500401329	6.32125181410502
85000	-14.177567763381223	-14.832075599569098	0.6545078361878753	-14.832075599569098	0.17609699404067486	0.6545078361878753	3.007664304273854
86000	-14.30214322548658	-14.137380324694746	-0.1647629007918341	-14.137380324694746	0.28464481240084843	-0.1647629007918341	2.180657473015758
87000	-14.985390298106914	-14.009684839919895	-0.9757054581870188	-14.009684839919895	0.5431510200411609	-0.9757054581870188	1.356206484975991
88000	-16.778212007308092	-14.087617019515491	-2.690594987792599	-14.087617019515491	0.8879559554530588	-2.690594987792599	2.2473694435711558
89000	-14.447338293359902	-17.831102403105433	3.38376410974553	-17.831102403105433	0.04959236673009656	3.38376410974553	12.787136470560624
90000	-15.686082614738337	-13.895646232598677	-1.7904363821396605	-13.895646232598677	0.6417201798909896	-1.7904363821396605	2.5282433677944094
91000	-18.527585044846283	-16.174913985138687	-2.3526710597075966	-16.174913985138687	1.062604400564424	-2.3526710597075966	1.1513926246495272
92000	-14.571608049162295	-13.962904225161143	-0.6087038240011524	-13.962904225161143	0.3143873134036317	-0.6087038240011524	4.4393519488897475
93000	-14.489450541269388	-15.474223081016202	0.9847725397468134	-15.474223081016202	0.11258302704512534	0.9847725397468134	11.70731137873437
94000	-15.042500533584795	-13.83254193227351	-1.2099586013112837	-13.83254193227351	0.477775481457194	-1.2099586013112837	0.9341384505331297
95000	-16.247990508769636	-18.39454333577814	2.1465528270085024	-18.39454333577814	0.08308754446227366	2.1465528270085024	4.4189271430378545
96000	-13.713855860879024	-14.890734858317725	1.1768789974387015	-14.890734858317725	0.17719505086406073	1.1768789974387015	3.900525641066597
97000	-14.370838266866388	-14.078929768496494	-0.29190849836989363	-14.078929768496494	0.2631225437465686	-0.29190849836989363	5.987813416021632
98000	-14.938113560429924	-13.90229773863446	-1.0358158217954652	-13.90229773863446	0.4058066079724854	-1.0358158217954652	3.28377923726269
99000	-14.765582927360382	-15.55668980509263	0.791106877732247	-15.55668980509263	0.23274453495360378	0.791106877732247	3.1753881391094727
100000	-14.02010482790584	-15.419075350454682	1.3989705225488422	-15.419075350454682	0.12291832717869036	1.3989705225488422	6.872101468884018
101000	-15.464580477616153	-14.296785432685342	-1.167795044930811	-14.296785432685342	0.22431330224820342	-1.167795044930811	11.239289451684547
102000	-16.42776123522898	-14.103230471212896	-2.3245307640160844	-14.103230471212896	0.8979141998690321	-2.3245307640160844	0.51301029880784
103000	-15.015509054889357	-13.828871828626324	-1.1866372262630316	-13.828871828626324	0.40516919242960897	-1.1866372262630316	4.175018841604646
104000	-13.665323876391275	-14.462653564402821	0.7973296880115459	-14.462653564402821	0.19168790430908997	0.7973296880115459	5.566628690093555
105000	-14.306848306514949	-15.653664900632378	1.346816594117429	-15.653664900632378	0.17850650059427767	1.346816594117429	6.079586980550753
106000	-16.734138885382755	-14.58897215077079	-2.1451667346119656	-14.58897215077079	0.7757507877192265	-2.1451667346119656	1.345721115213838
